species,host_family,host_genus
Colias_tamerlana,Fabaceae,Oxytropis
Colias_tamerlana,Ericaceae,Vaccinium
Colias_thisoa,Fabaceae,Astragalus
Colias_thisoa,Fabaceae,Oxytropis
Colias_tyche,Fabaceae,Astragalus
Colias_tyche,Fabaceae,Caragana
Colias_tyche,Fabaceae,Hedysarum
Colias_tyche,Fabaceae,Lupinus
Colias_tyche,Fabaceae,Oxytropis
Colias_tyche,Ericaceae,Vaccinium
Colias_vauthierii,Fabaceae,Adesmia
Colias_vauthierii,Fabaceae,Medicago
Colias_vauthierii,Fabaceae,Trifolium
Colias_wanda,Fabaceae,Oxytropis
Colias_weberbaueri,Fabaceae,Astragalus
Colias_weberbaueri,Fabaceae,Medicago
Colias_wiskotti,Plumbaginaceae,Acantholimon
Colias_wiskotti,Fabaceae,Astragalus
Colias_wiskotti,Fabaceae,Onobrychis
Colias_wiskotti,Fabaceae,Oxytropis
Zerene_cesonia,Fabaceae,Amorpha
Zerene_cesonia,Fabaceae,Trifolium
Zerene_cesonia,Fabaceae,Indigofera
Zerene_cesonia,Fabaceae,Medicago
Zerene_eurydice,Fabaceae,Amorpha
Zerene_eurydice,Fabaceae,Trifolium
Zerene_eurydice,Fabaceae,Dalea
