Iteration	Posterior	Likelihood	Prior	clock_host	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
5000	-1388.762	-1388.101	-0.6611741	0.6611741	0.03264543	0.9673546	1e-06	0.0326454	1e-06	1e-06	0.967355	1e-06	0.0326454	0.967355
5050	-1431.257	-1430.645	-0.6113451	0.6113451	0.04524627	0.9547537	1e-06	0.0452463	1e-06	1e-06	0.954754	1e-06	0.0452463	0.954754
5100	-1462.212	-1461.492	-0.7195065	0.7195065	0.03906181	0.9609382	1e-06	0.0390618	1e-06	1e-06	0.960938	1e-06	0.0390618	0.960938
5150	-1445.971	-1445.25	-0.7217803	0.7217803	0.0412512	0.9587488	1e-06	0.0412512	1e-06	1e-06	0.958749	1e-06	0.0412512	0.958749
5200	-1521.54	-1520.794	-0.7463478	0.7463478	0.04733105	0.9526689	1e-06	0.0473311	1e-06	1e-06	0.952669	1e-06	0.0473311	0.952669
5250	-1477.824	-1477.152	-0.6724455	0.6724455	0.03905103	0.960949	1e-06	0.039051	1e-06	1e-06	0.960949	1e-06	0.039051	0.960949
5300	-1446.958	-1446.317	-0.6411644	0.6411644	0.03789467	0.9621053	1e-06	0.0378947	1e-06	1e-06	0.962105	1e-06	0.0378947	0.962105
5350	-1500.374	-1499.687	-0.6869299	0.6869299	0.04167843	0.9583216	1e-06	0.0416784	1e-06	1e-06	0.958322	1e-06	0.0416784	0.958322
5400	-1417.557	-1416.905	-0.6516089	0.6516089	0.04062052	0.9593795	1e-06	0.0406205	1e-06	1e-06	0.959379	1e-06	0.0406205	0.959379
5450	-1436.347	-1435.672	-0.67484	0.67484	0.04495065	0.9550493	1e-06	0.0449507	1e-06	1e-06	0.955049	1e-06	0.0449507	0.955049
